name,state,established,stamp_index,coordinates,latitude,longitude
ABAUGH,Arkansas,1928,1,True,35.7817467,-93.5015737
ACTION,Alabama,1924,5,True,33.4267745,-86.7352655
ADAMS,Mississippi,1950,1,True,32.1598736,-90.5606536
ADELBERT,Missouri,1922,4,True,37.9708835,-90.7101298
ALABASTER,Alabama,1951,0,True,33.2172637,-86.8242978
ALADDIN,Pennsylvania,1948,0,True,40.6917318,-79.6567143
ALAFLORA,Alabama,1932,4,True,31.0140697,-86.8463494
ALBERTON,Alabama,1978,5,True,31.2779473,-86.1257796
ALBERTSON,New York,1928,0,True,40.7678239,-73.6475252
ALCO,Louisiana,1922,1,True,31.3343454,-93.1307188
ALCOA CENTER,Pennsylvania,1972,0,True,40.5384,-79.6450454
ALDEN,Alabama,1934,1,True,33.6389941,-86.9652734
ALLEY SPRING,Missouri,1950,1,True,37.1442159,-91.4440263
ALLFRIEND,Arkansas,1927,1,True,36.1109078,-93.4107396
ALLISON,Alabama,1921,1,True,32.7867977,-87.9758499
ALLISON,Arkansas,1930,1,True,35.9367399,-92.1173747
ALPENA,Arkansas,1950,0,True,36.2952273,-93.2897123
ALPINE,Tennessee,1921,0,True,36.3941722,-85.2159355
ALTHEA,Missouri,1921,4,True,36.6414507,-92.2287689
AMELIA CITY,Florida,1927,1,True,30.5902381,-81.4573127
ANCRAMDALE,New York,1930,0,True,42.0176962,-73.5906792
ANDALUSIA,Florida,1925,3,True,29.4999723,-81.4847952
ANGEL CITY,Florida,1927,3,True,28.3444505,-80.660608
APOXSEE,Florida,1928,3,True,27.8003052,-80.9395066
ARAB,Missouri,1943,0,True,37.0936629,-90.0767666
ARCHIE,Louisiana,1921,1,True,31.5798958,-91.9673517
ARDSLEY,Pennsylvania,1922,1,True,40.1212211,-75.1551748
ARIZONA,Louisiana,1925,1,True,32.7890359,-92.9576596
ARNOLD,Missouri,1945,0,True,38.4374548,-90.3734908
ASCUTNEY,Vermont,1924,0,True,43.4071372,-72.4073319
ASHLEY CREEK,Missouri,1936,1,True,37.403101,-91.6884813
ASSEMBLY POINT,New York,1924,1,True,43.472847,-73.6576169
ATHOL,Missouri,1921,3,True,39.1072266,-94.4832864
ATHONE,Louisiana,1921,4,True,31.6104479,-91.7376253
ATKINSON,New Hampshire,1956,0,True,42.8195942,-71.1180494
ATLANTIC BEACH,New York,1928,0,True,40.5892438,-73.7355418
AVANS,Georgia,1927,1,True,34.885356,-85.5441314
AVENT,Mississippi,1926,5,True,31.0018536,-88.7730903
AVON,Mississippi,1953,0,True,33.2319729,-91.046599
AVONDALE ESTATES,Georgia,1925,0,True,33.7766276,-84.2709158
AZUCAR,Florida,1930,1,True,26.8497815,-80.616445
BABSON PARK,Florida,1923,0,True,27.8382055,-81.529541
BALA-CYNWYD,Pennsylvania,1921,0,True,40.0076125,-75.2340695
BALDWINVILLE,Massachusetts,1947,0,True,42.6089744,-72.0754816
BALL CREEK,Arkansas,1924,6,True,35.8931341,-93.7782483
BALMAT,New York,1930,1,True,44.2483948,-75.3949317
BANNER,Missouri,1924,1,True,37.6969924,-90.8345721
BAPTIST,Louisiana,1923,1,True,30.5049135,-90.533146
BARKING,Pennsylvania,1921,0,True,40.5328454,-79.7819926
BARNEGAT LIGHT,New Jersey,1949,0,True,39.7561007,-74.1083393
BARRINGTON,New Hampshire,1970,0,True,43.2128042,-70.9987164
BARTH,Mississippi,1923,3,True,30.6724124,-89.3644997
BASINGER,Florida,1941,1,True,27.4003186,-81.0164538
BASS HARBOR,Maine,1966,0,True,44.2377495,-68.3447649
BASSETTS CREEK,Alabama,1939,3,True,31.4646097,-88.032225
BASSINGER,Florida,1933,2,True,27.4003186,-81.0164538
BATESBURG-LEESVILLE,South Carolina,1995,0,True,33.916532,-81.5134368
BAY PINES,Florida,1934,0,True,27.8087989,-82.7783395
BAY SHORE,Florida,1925,2,True,26.7153469,-81.8234178
BAY SPRINGS,Florida,1921,1,True,30.7735219,-87.4791488
BAYOU GEORGE,Florida,1921,2,True,30.2626986,-85.5399244
BEAL,Missouri,1922,2,True,37.1136604,-91.0959615
BEAN CITY,Florida,1936,1,True,26.6820111,-80.7617267
BEAN STATION,Tennessee,1929,0,True,36.3450654,-83.2934547
BEAR MOUNTAIN,New York,1937,0,True,41.3148161,-73.9862513
BEATTY,Mississippi,1925,4,True,33.2698488,-89.7389714
BECK,Arkansas,1924,3,True,34.7889865,-90.6031616
BECKER,Mississippi,1928,0,True,33.9291873,-88.4782675
BEDFORD VALLEY,Pennsylvania,1927,2,True,39.8292512,-78.6497401
BEGLEY,Arkansas,1923,3,True,35.885631,-92.5337727
