state,state_longform,num_post_offices,centroid_latitude,centroid_longitude
AL,Alabama,20,33.083512545,-86.71067007500001
AK,Alaska,85,61.84963976470586,-156.38503411764702
AZ,Arizona,30,33.907547666666666,-111.49135666666668
AR,Arkansas,18,35.390634461111105,-92.12907697222221
CA,California,116,36.293925517241384,-119.31179741379312
CO,Colorado,11,38.86206545454546,-107.36688181818181
CT,Connecticut,6,41.7623778,-72.22606175
DE,Delaware,3,38.83296333333334,-75.36937333333333
FL,Florida,56,28.069276339285718,-82.19775686964284
GA,Georgia,15,32.590562520000006,-83.15322052000002
HI,Hawaii,12,20.728625833333336,-157.09736666666666
ID,Idaho,9,45.22023888888889,-114.39225555555556
IL,Illinois,7,41.11992857142857,-88.4798257142857
IN,Indiana,12,39.970898008333336,-86.28041729166667
IA,Iowa,4,42.1497544,-92.212934375
KS,Kansas,5,38.259434,-96.28081
KY,Kentucky,48,37.49475214583333,-83.79709605833334
LA,Louisiana,11,30.985090454545453,-91.87133753636363
ME,Maine,14,44.469438214285724,-69.70119302142857
MD,Maryland,17,38.96460542352942,-76.71189780588236
MA,Massachusetts,13,42.33104824615385,-71.52754244615383
MI,Michigan,27,44.094951555555554,-84.71835049259259
MN,Minnesota,15,46.62509336,-93.79876918
MS,Mississippi,11,33.11038352727273,-89.97513302727272
MO,Missouri,16,37.782619856249994,-91.12789716875
MT,Montana,5,47.50993000000001,-113.02122
NE,Nebraska,6,41.04931333333333,-98.95505000000001
NV,Nevada,11,38.924836363636366,-116.96668181818183
NH,New Hampshire,14,43.11097055714286,-71.46714072857144
NJ,New Jersey,23,40.43808081739131,-74.41331795217391
NM,New Mexico,38,34.37428,-106.19373157894738
NY,New York,26,41.43623276153846,-74.15630076923075
NC,North Carolina,27,35.39871348888889,-79.28149453333333
ND,North Dakota,3,47.73549333333333,-102.17739999999999
OH,Ohio,10,40.253192,-82.817064
OK,Oklahoma,17,35.59141647058823,-97.5227688235294
OR,Oregon,12,44.40636583333333,-121.77051666666667
PA,Pennsylvania,28,40.65701694642858,-77.791706775
RI,Rhode Island,3,41.663855633333334,-71.49366946666667
SC,South Carolina,15,33.679505593333324,-80.72251392
SD,South Dakota,4,43.9364475,-99.97086
TN,Tennessee,13,35.77860883076923,-85.43390343846156
TX,Texas,54,31.426091111111106,-98.629695
UT,Utah,10,39.820079,-110.63006
VT,Vermont,3,43.97503583333333,-72.56074603333333
VA,Virginia,28,37.80281905714286,-78.84735591071428
WA,Washington,14,47.43716357142856,-121.42362857142858
WV,West Virginia,36,38.04214454444445,-81.25141323055556
WI,Wisconsin,11,44.65663090909091,-89.52028
WY,Wyoming,8,42.90599125,-108.5042875
AL,Alabama,20,33.083512545,-86.71067007500001
AK,Alaska,85,61.84963976470586,-156.38503411764702
AZ,Arizona,30,33.907547666666666,-111.49135666666668
AR,Arkansas,18,35.390634461111105,-92.12907697222221
CA,California,116,36.293925517241384,-119.31179741379312
CO,Colorado,11,38.86206545454546,-107.36688181818181
CT,Connecticut,6,41.7623778,-72.22606175
DE,Delaware,3,38.83296333333334,-75.36937333333333
FL,Florida,56,28.069276339285718,-82.19775686964284
GA,Georgia,15,32.590562520000006,-83.15322052000002
HI,Hawaii,12,20.728625833333336,-157.09736666666666
ID,Idaho,9,45.22023888888889,-114.39225555555556
IL,Illinois,7,41.11992857142857,-88.4798257142857
IN,Indiana,12,39.970898008333336,-86.28041729166667
IA,Iowa,4,42.1497544,-92.212934375
KS,Kansas,5,38.259434,-96.28081
KY,Kentucky,48,37.49475214583333,-83.79709605833334
LA,Louisiana,11,30.985090454545453,-91.87133753636363
ME,Maine,14,44.469438214285724,-69.70119302142857
MD,Maryland,17,38.96460542352942,-76.71189780588236
MA,Massachusetts,13,42.33104824615385,-71.52754244615383
MI,Michigan,27,44.094951555555554,-84.71835049259259
MN,Minnesota,15,46.62509336,-93.79876918
MS,Mississippi,11,33.11038352727273,-89.97513302727272
MO,Missouri,16,37.782619856249994,-91.12789716875
MT,Montana,5,47.50993000000001,-113.02122
NE,Nebraska,6,41.04931333333333,-98.95505000000001
NV,Nevada,11,38.924836363636366,-116.96668181818183
NH,New Hampshire,14,43.11097055714286,-71.46714072857144
NJ,New Jersey,23,40.43808081739131,-74.41331795217391
NM,New Mexico,38,34.37428,-106.19373157894738
NY,New York,26,41.43623276153846,-74.15630076923075
NC,North Carolina,27,35.39871348888889,-79.28149453333333
ND,North Dakota,3,47.73549333333333,-102.17739999999999
OH,Ohio,10,40.253192,-82.817064
OK,Oklahoma,17,35.59141647058823,-97.5227688235294
OR,Oregon,12,44.40636583333333,-121.77051666666667
PA,Pennsylvania,28,40.65701694642858,-77.791706775
RI,Rhode Island,3,41.663855633333334,-71.49366946666667
SC,South Carolina,15,33.679505593333324,-80.72251392
SD,South Dakota,4,43.9364475,-99.97086
TN,Tennessee,13,35.77860883076923,-85.43390343846156
TX,Texas,54,31.426091111111106,-98.629695
UT,Utah,10,39.820079,-110.63006
VT,Vermont,3,43.97503583333333,-72.56074603333333
VA,Virginia,28,37.80281905714286,-78.84735591071428
WA,Washington,14,47.43716357142856,-121.42362857142858
WV,West Virginia,36,38.04214454444445,-81.25141323055556
WI,Wisconsin,11,44.65663090909091,-89.52028
WY,Wyoming,8,42.90599125,-108.5042875
